WindSpeed_t+1,WindSpeed_t+2,WindSpeed_t+3,WindSpeed_t+4,WindSpeed_t+5,WindSpeed_t+6,WindSpeed_t+7,WindSpeed_t+8,WindSpeed_t+9,WindSpeed_t+10,WindSpeed_t+11,WindSpeed_t+12
5.1571426,3.542857,4.0333333,3.2200003,1.8,1.9785713,3.392857,4.2,3.6785715,3.1000001,1.6866664,1.5285715
3.542857,4.0333333,3.2200003,1.8,1.9785713,3.392857,4.2,3.6785715,3.1000001,1.6866664,1.5285715,1.7214286
4.0333333,3.2200003,1.8,1.9785713,3.392857,4.2,3.6785715,3.1000001,1.6866664,1.5285715,1.7214286,1.8285714
3.2200003,1.8,1.9785713,3.392857,4.2,3.6785715,3.1000001,1.6866664,1.5285715,1.7214286,1.8285714,0.5142857
1.8,1.9785713,3.392857,4.2,3.6785715,3.1000001,1.6866664,1.5285715,1.7214286,1.8285714,0.5142857,1.3357143
1.9785713,3.392857,4.2,3.6785715,3.1000001,1.6866664,1.5285715,1.7214286,1.8285714,0.5142857,1.3357143,1.8266666
3.392857,4.2,3.6785715,3.1000001,1.6866664,1.5285715,1.7214286,1.8285714,0.5142857,1.3357143,1.8266666,1.7333333
4.2,3.6785715,3.1000001,1.6866664,1.5285715,1.7214286,1.8285714,0.5142857,1.3357143,1.8266666,1.7333333,1.6000001
3.6785715,3.1000001,1.6866664,1.5285715,1.7214286,1.8285714,0.5142857,1.3357143,1.8266666,1.7333333,1.6000001,2.0714285
3.1000001,1.6866664,1.5285715,1.7214286,1.8285714,0.5142857,1.3357143,1.8266666,1.7333333,1.6000001,2.0714285,1.2428571
1.6866664,1.5285715,1.7214286,1.8285714,0.5142857,1.3357143,1.8266666,1.7333333,1.6000001,2.0714285,1.2428571,2.7499998
1.5285715,1.7214286,1.8285714,0.5142857,1.3357143,1.8266666,1.7333333,1.6000001,2.0714285,1.2428571,2.7499998,3.085714
1.7214286,1.8285714,0.5142857,1.3357143,1.8266666,1.7333333,1.6000001,2.0714285,1.2428571,2.7499998,3.085714,2.7599998
