Function,Dimensions,Pop_Size,Iters,find_solution,generation_found
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,96.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,39.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,79.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,45.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,14.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,29.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,32.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,11.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,49.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,18.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,44.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,5.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,36.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,7.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,46.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,17.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,102.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,14.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,21.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,16.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,17.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,9.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,29.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,53.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,37.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,30.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,25.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,65.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,29.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,17.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,21.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,51.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,25.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,29.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,21.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,4.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,36.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,109.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,23.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,16.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,27.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,17.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,14.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,23.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,59.0
ShiftedExpandedGriewankRosenbrock,2,110,110,0,
ShiftedExpandedGriewankRosenbrock,2,110,110,1,17.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,81.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,25.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,13.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,67.0
ShiftedExpandedGriewankRosenbrock,2,110,110,1,20.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,10.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,30.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,38.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,26.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,16.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,20.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,29.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,44.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,28.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,48.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,20.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,26.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,20.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,65.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,71.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,33.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,26.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,35.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,16.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,19.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,37.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,49.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,14.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,25.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,15.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,63.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,27.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,46.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,100.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,29.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,8.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,28.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,11.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,75.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,40.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,32.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,43.0
RotatedVersionHybridCompositionFunction1,2,130,130,0,
RotatedVersionHybridCompositionFunction1,2,130,130,1,34.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,54.0
RotatedVersionHybridCompositionFunction1,2,130,130,0,
RotatedVersionHybridCompositionFunction1,2,130,130,1,38.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,31.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,34.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,15.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,17.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,21.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,126.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,24.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,53.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,13.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,13.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,30.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,20.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,44.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,65.0
RotatedVersionHybridCompositionFunction1,2,130,130,0,
RotatedVersionHybridCompositionFunction1,2,130,130,1,16.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,60.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,127.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,49.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,26.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,15.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,46.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,24.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,23.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,63.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,24.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,21.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,23.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,39.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,26.0
RotatedVersionHybridCompositionFunction1,2,130,130,0,
RotatedVersionHybridCompositionFunction1,2,130,130,1,44.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,25.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,18.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,23.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,41.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,11.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,38.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,22.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,39.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,9.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,67.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,24.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,44.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,33.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,47.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,32.0
RotatedVersionHybridCompositionFunction1,2,130,130,0,
RotatedVersionHybridCompositionFunction1,2,130,130,1,14.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,15.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,27.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,20.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,35.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,23.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,30.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,17.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,18.0
RotatedVersionHybridCompositionFunction1,2,130,130,1,20.0
RotatedVersionHybridCompositionFunction1Noise,2,130,130,1,33.0
RotatedVersionHybridCompositionFunction1Noise,2,130,130,1,29.0
RotatedVersionHybridCompositionFunction1Noise,2,130,130,1,39.0
RotatedVersionHybridCompositionFunction1Noise,2,130,130,1,30.0
RotatedVersionHybridCompositionFunction1Noise,2,130,130,1,26.0
