Function,Dimensions,k_loc_i,k_scale_range_i,Reliability,Speed,Range_Left,Range_Right
F6,2,6.5,1.65,0.83,22.19,8.0,45.0
F6,2,6.5,3.15,0.8,23.21,7.0,64.0
F6,2,6.5,4.65,0.76,23.24,6.0,54.0
F6,2,6.5,6.15,0.85,23.05,10.0,70.0
F6,2,6.5,7.65,0.85,23.19,10.0,43.0
F6,2,9.5,0.15,0.84,21.58,10.0,68.0
F6,2,9.5,1.65,0.83,21.48,12.0,64.0
F6,2,9.5,3.15,0.8,22.49,11.0,67.0
F6,2,9.5,4.65,0.85,21.45,9.0,47.0
F6,2,9.5,6.15,0.84,21.23,6.0,31.0
F6,2,9.5,7.65,0.79,23.27,13.0,59.0
F6,2,12.5,0.15,0.82,20.85,8.0,57.0
F6,2,12.5,1.65,0.81,21.17,11.0,42.0
F6,2,12.5,3.15,0.79,22.44,8.0,67.0
F6,2,12.5,4.65,0.85,22.44,11.0,56.0
F6,2,12.5,6.15,0.85,23.24,11.0,70.0
F6,2,12.5,7.65,0.73,20.92,7.0,48.0
F6,2,15.5,0.15,0.86,20.31,7.0,69.0
F6,2,15.5,1.65,0.84,21.02,11.0,37.0
F6,2,15.5,3.15,0.78,22.03,10.0,36.0
F6,2,15.5,4.65,0.86,21.55,9.0,63.0
F6,2,15.5,6.15,0.85,22.06,9.0,61.0
F6,2,15.5,7.65,0.81,20.93,11.0,33.0
F6,2,18.5,0.15,0.82,21.22,7.0,49.0
F6,2,18.5,1.65,0.81,20.86,9.0,43.0
F6,2,18.5,3.15,0.78,21.69,5.0,68.0
F6,2,18.5,4.65,0.84,22.06,10.0,42.0
F6,2,18.5,6.15,0.83,21.55,12.0,55.0
F6,2,18.5,7.65,0.83,21.65,8.0,56.0
F7,2,0.5,0.15,0.7,40.24,2.0,79.0
F7,2,0.5,1.65,0.66,39.32,2.0,79.0
F7,2,0.5,3.15,0.54,32.33,2.0,79.0
F7,2,0.5,4.65,0.48,35.08,2.0,79.0
F7,2,0.5,6.15,0.39,34.69,4.0,75.0
F7,2,0.5,7.65,0.49,33.0,3.0,77.0
F7,2,3.5,0.15,0.49,31.49,2.0,79.0
F7,2,3.5,1.65,0.46,27.39,2.0,76.0
F7,2,3.5,3.15,0.5,33.84,3.0,77.0
F7,2,3.5,4.65,0.39,27.79,3.0,74.0
F7,2,3.5,6.15,0.46,39.43,1.0,80.0
F7,2,3.5,7.65,0.56,33.82,2.0,75.0
F7,2,6.5,0.15,0.41,32.32,3.0,79.0
F7,2,6.5,1.65,0.33,33.48,1.0,75.0
F7,2,6.5,3.15,0.34,30.47,1.0,75.0
F7,2,6.5,4.65,0.45,30.73,3.0,79.0
F7,2,6.5,6.15,0.4,29.82,3.0,80.0
F7,2,6.5,7.65,0.38,33.05,1.0,79.0
F7,2,9.5,0.15,0.42,29.26,3.0,75.0
F7,2,9.5,1.65,0.45,31.6,3.0,79.0
F7,2,9.5,3.15,0.43,29.16,1.0,79.0
F7,2,9.5,4.65,0.49,36.24,2.0,78.0
F7,2,9.5,6.15,0.48,31.94,3.0,76.0
F7,2,9.5,7.65,0.39,30.87,3.0,74.0
F7,2,12.5,0.15,0.37,34.57,2.0,79.0
F7,2,12.5,1.65,0.41,27.51,4.0,80.0
F7,2,12.5,3.15,0.35,38.6,3.0,80.0
F7,2,12.5,4.65,0.42,44.24,1.0,76.0
F7,2,12.5,6.15,0.41,33.07,1.0,73.0
F7,2,12.5,7.65,0.45,35.58,5.0,75.0
F7,2,15.5,0.15,0.44,28.16,1.0,75.0
F7,2,15.5,1.65,0.41,39.49,2.0,79.0
F7,2,15.5,3.15,0.44,32.07,6.0,74.0
F7,2,15.5,4.65,0.45,32.98,1.0,80.0
F7,2,15.5,6.15,0.46,30.39,1.0,79.0
F7,2,15.5,7.65,0.39,37.23,2.0,78.0
F7,2,18.5,0.15,0.5,35.32,5.0,78.0
F7,2,18.5,1.65,0.39,34.9,2.0,80.0
F7,2,18.5,3.15,0.47,35.36,3.0,80.0
F7,2,18.5,4.65,0.38,40.18,2.0,78.0
F7,2,18.5,6.15,0.42,33.93,1.0,78.0
F7,2,18.5,7.65,0.44,35.34,2.0,73.0
F8,2,0.5,0.15,0.79,38.25,5.0,116.0
F8,2,0.5,1.65,0.76,38.72,11.0,117.0
F8,2,0.5,3.15,0.75,37.61,9.0,116.0
F8,2,0.5,4.65,0.82,37.52,7.0,101.0
F8,2,0.5,6.15,0.85,35.71,10.0,114.0
F8,2,0.5,7.65,0.85,33.32,9.0,111.0
F8,2,3.5,0.15,0.76,34.57,8.0,109.0
F8,2,3.5,1.65,0.88,36.42,4.0,118.0
F8,2,3.5,3.15,0.87,37.94,8.0,119.0
F8,2,3.5,4.65,0.89,39.24,6.0,119.0
F8,2,3.5,6.15,0.91,37.09,6.0,118.0
F8,2,3.5,7.65,0.83,33.69,10.0,104.0
F8,2,6.5,0.15,0.89,28.87,8.0,90.0
F8,2,6.5,1.65,0.78,30.88,5.0,109.0
F8,2,6.5,3.15,0.89,29.01,8.0,110.0
F8,2,6.5,4.65,0.81,35.74,5.0,115.0
F8,2,6.5,6.15,0.81,29.93,9.0,110.0
F8,2,6.5,7.65,0.81,29.74,12.0,112.0
F8,2,9.5,0.15,0.84,27.1,9.0,81.0
F8,2,9.5,1.65,0.82,31.27,8.0,109.0
F8,2,9.5,3.15,0.86,27.29,12.0,103.0
F8,2,9.5,4.65,0.82,29.45,10.0,97.0
F8,2,9.5,6.15,0.84,28.35,1.0,118.0
F8,2,9.5,7.65,0.91,29.01,11.0,116.0
F8,2,12.5,0.15,0.82,26.34,8.0,101.0
F8,2,12.5,1.65,0.83,26.7,5.0,99.0
F8,2,12.5,3.15,0.83,25.63,9.0,93.0
F8,2,12.5,4.65,0.8,27.75,8.0,119.0
F8,2,12.5,6.15,0.82,26.8,9.0,106.0
F8,2,12.5,7.65,0.87,27.76,8.0,87.0
F8,2,15.5,0.15,0.83,23.84,6.0,75.0
F8,2,15.5,1.65,0.86,25.08,4.0,84.0
F8,2,15.5,3.15,0.87,27.91,9.0,117.0
F8,2,15.5,4.65,0.84,26.92,11.0,120.0
F8,2,15.5,6.15,0.86,24.94,11.0,104.0
F8,2,15.5,7.65,0.85,28.47,9.0,115.0
F8,2,18.5,0.15,0.85,26.36,6.0,112.0
F8,2,18.5,1.65,0.85,26.8,8.0,106.0
F8,2,18.5,3.15,0.91,29.3,9.0,120.0
F8,2,18.5,4.65,0.85,28.95,6.0,114.0
F8,2,18.5,6.15,0.87,22.8,10.0,84.0
F8,2,18.5,7.65,0.92,27.25,7.0,89.0
F9,2,0.5,0.15,0.17,38.29,11.0,67.0
F9,2,0.5,1.65,0.21,29.76,3.0,64.0
F9,2,0.5,3.15,0.12,29.0,3.0,63.0
F9,2,0.5,4.65,0.17,28.88,12.0,65.0
F9,2,0.5,6.15,0.12,29.67,5.0,59.0
F9,2,0.5,7.65,0.14,22.07,4.0,63.0
F9,2,3.5,0.15,0.05,24.8,6.0,59.0
F9,2,3.5,1.65,0.08,15.12,6.0,24.0
F9,2,3.5,3.15,0.06,23.67,8.0,58.0
F9,2,3.5,4.65,0.06,25.33,4.0,53.0
F9,2,3.5,6.15,0.08,20.25,6.0,49.0
F9,2,3.5,7.65,0.1,19.8,3.0,54.0
F9,2,6.5,0.15,0.06,28.33,14.0,61.0
F9,2,6.5,1.65,0.05,28.8,6.0,68.0
F9,2,6.5,3.15,0.05,33.0,5.0,66.0
F9,2,6.5,4.65,0.08,27.12,14.0,46.0
F9,2,6.5,6.15,0.1,18.0,2.0,61.0
F9,2,6.5,7.65,0.04,18.25,7.0,35.0
F9,2,9.5,0.15,0.1,19.0,4.0,61.0
F9,2,9.5,1.65,0.07,22.29,4.0,55.0
F9,2,9.5,3.15,0.09,19.0,5.0,38.0
F9,2,9.5,4.65,0.11,15.09,4.0,41.0
F9,2,9.5,6.15,0.08,14.12,5.0,26.0
F9,2,9.5,7.65,0.09,28.78,3.0,65.0
F9,2,12.5,0.15,0.06,16.83,5.0,46.0
F9,2,12.5,1.65,0.05,25.8,5.0,62.0
F9,2,12.5,3.15,0.05,15.4,2.0,49.0
F9,2,12.5,4.65,0.14,21.0,4.0,63.0
F9,2,12.5,6.15,0.07,19.71,5.0,54.0
F9,2,12.5,7.65,0.09,24.0,5.0,67.0
F9,2,15.5,0.15,0.04,19.25,6.0,49.0
F9,2,15.5,1.65,0.08,35.5,3.0,67.0
F9,2,15.5,3.15,0.14,30.21,6.0,65.0
F9,2,15.5,4.65,0.06,18.67,8.0,34.0
F9,2,15.5,6.15,0.06,19.17,7.0,44.0
F9,2,15.5,7.65,0.08,32.25,7.0,62.0
F9,2,18.5,0.15,0.05,28.4,3.0,66.0
F9,2,18.5,1.65,0.09,24.44,6.0,70.0
F9,2,18.5,3.15,0.07,14.43,4.0,36.0
F9,2,18.5,4.65,0.03,14.67,4.0,30.0
F9,2,18.5,6.15,0.07,32.57,10.0,56.0
F9,2,18.5,7.65,0.06,26.17,8.0,66.0
F10,2,0.5,0.15,0.72,151.68,9.0,383.0
F10,2,0.5,1.65,0.65,133.35,7.0,397.0
F10,2,0.5,3.15,0.52,135.17,11.0,369.0
F10,2,0.5,4.65,0.54,120.96,5.0,340.0
F10,2,0.5,6.15,0.63,130.65,3.0,374.0
F10,2,0.5,7.65,0.5,137.58,7.0,354.0
F10,2,3.5,0.15,0.51,119.18,11.0,397.0
F10,2,3.5,1.65,0.49,137.33,5.0,341.0
F10,2,3.5,3.15,0.49,108.16,24.0,309.0
F10,2,3.5,4.65,0.47,102.23,18.0,372.0
F10,2,3.5,6.15,0.47,121.11,19.0,383.0
F10,2,3.5,7.65,0.48,111.17,8.0,381.0
F10,2,6.5,0.15,0.52,112.6,1.0,393.0
F10,2,6.5,1.65,0.45,86.67,5.0,271.0
F10,2,6.5,3.15,0.49,113.43,16.0,397.0
F10,2,6.5,4.65,0.53,119.53,2.0,395.0
F10,2,6.5,6.15,0.47,108.51,18.0,378.0
F10,2,6.5,7.65,0.35,118.14,14.0,353.0
F10,2,9.5,0.15,0.38,85.18,7.0,318.0
F10,2,9.5,1.65,0.46,88.09,2.0,329.0
F10,2,9.5,3.15,0.39,104.38,2.0,317.0
F10,2,9.5,4.65,0.39,110.56,16.0,375.0
F10,2,9.5,6.15,0.37,87.19,3.0,361.0
F10,2,9.5,7.65,0.41,100.27,6.0,376.0
F10,2,12.5,0.15,0.34,74.15,18.0,218.0
F10,2,12.5,1.65,0.44,124.68,13.0,346.0
F10,2,12.5,3.15,0.43,69.7,1.0,322.0
F10,2,12.5,4.65,0.46,119.85,7.0,397.0
F10,2,12.5,6.15,0.38,106.66,3.0,400.0
F10,2,12.5,7.65,0.44,115.84,10.0,400.0
F10,2,15.5,0.15,0.47,75.91,10.0,337.0
F10,2,15.5,1.65,0.35,111.63,3.0,326.0
F10,2,15.5,3.15,0.45,80.49,7.0,191.0
F10,2,15.5,4.65,0.35,83.97,6.0,372.0
F10,2,15.5,6.15,0.42,100.76,1.0,394.0
F10,2,15.5,7.65,0.49,93.63,4.0,380.0
F10,2,18.5,0.15,0.47,87.4,15.0,323.0
F10,2,18.5,1.65,0.36,90.83,5.0,393.0
F10,2,18.5,3.15,0.43,66.21,1.0,345.0
F10,2,18.5,4.65,0.43,101.28,19.0,398.0
F10,2,18.5,6.15,0.53,94.72,15.0,397.0
F10,2,18.5,7.65,0.35,117.0,20.0,381.0
F11,2,0.5,0.15,0.89,28.17,10.0,45.0
F11,2,0.5,1.65,0.91,26.92,7.0,44.0
F11,2,0.5,3.15,0.91,25.98,10.0,45.0
F11,2,0.5,4.65,0.92,24.92,5.0,45.0
F11,2,0.5,6.15,0.95,24.61,7.0,45.0
F11,2,0.5,7.65,0.94,23.74,5.0,44.0
F11,2,3.5,0.15,0.93,22.39,7.0,43.0
F11,2,3.5,1.65,0.92,23.98,3.0,45.0
F11,2,3.5,3.15,0.91,24.09,3.0,45.0
F11,2,3.5,4.65,0.88,24.77,9.0,43.0
F11,2,3.5,6.15,0.94,23.99,6.0,45.0
F11,2,3.5,7.65,0.91,24.4,7.0,44.0
F11,2,6.5,0.15,0.93,22.43,8.0,45.0
F11,2,6.5,1.65,0.91,24.42,7.0,44.0
F11,2,6.5,3.15,0.95,22.28,9.0,45.0
F11,2,6.5,4.65,0.87,24.13,10.0,42.0
F11,2,6.5,6.15,0.94,22.55,6.0,45.0
F11,2,6.5,7.65,0.95,23.39,9.0,43.0
F11,2,9.5,0.15,0.93,21.74,4.0,42.0
F11,2,9.5,1.65,0.92,22.35,3.0,45.0
F11,2,9.5,3.15,0.93,21.74,4.0,45.0
F11,2,9.5,4.65,0.92,24.39,10.0,44.0
F11,2,9.5,6.15,0.93,22.54,7.0,44.0
F11,2,9.5,7.65,0.94,22.9,7.0,45.0
F11,2,12.5,0.15,0.97,22.88,9.0,44.0
F11,2,12.5,1.65,0.93,20.77,7.0,40.0
F11,2,12.5,3.15,0.95,24.76,9.0,44.0
F11,2,12.5,4.65,0.96,22.33,4.0,45.0
F11,2,12.5,6.15,0.92,23.17,5.0,44.0
F11,2,12.5,7.65,0.92,25.35,8.0,45.0
F11,2,15.5,0.15,0.94,20.16,4.0,39.0
F11,2,15.5,1.65,0.91,23.38,4.0,45.0
F11,2,15.5,3.15,0.92,22.63,4.0,43.0
F11,2,15.5,4.65,0.95,21.89,7.0,44.0
F11,2,15.5,6.15,0.94,24.1,7.0,44.0
F11,2,15.5,7.65,0.93,24.58,10.0,45.0
F11,2,18.5,0.15,0.93,23.24,7.0,44.0
F11,2,18.5,1.65,0.93,24.3,9.0,42.0
F11,2,18.5,3.15,0.92,24.8,7.0,45.0
F11,2,18.5,4.65,0.94,23.85,5.0,43.0
F11,2,18.5,6.15,0.98,22.91,8.0,45.0
F11,2,18.5,7.65,0.96,23.45,8.0,44.0
F12,2,0.5,0.15,0.4,11.5,3.0,16.0
F12,2,0.5,1.65,0.49,11.18,4.0,16.0
F12,2,0.5,3.15,0.59,11.42,4.0,16.0
F12,2,0.5,4.65,0.45,11.91,3.0,16.0
F12,2,0.5,6.15,0.44,11.95,6.0,16.0
F12,2,0.5,7.65,0.44,11.34,5.0,16.0
F12,2,3.5,0.15,0.48,11.6,4.0,16.0
F12,2,3.5,1.65,0.47,11.09,2.0,16.0
F12,2,3.5,3.15,0.39,11.26,5.0,16.0
F12,2,3.5,4.65,0.41,11.46,4.0,16.0
F12,2,3.5,6.15,0.43,10.86,1.0,16.0
F12,2,3.5,7.65,0.49,10.43,2.0,16.0
