Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
prop | empty,0.08,0.8,0.67,0.72,0.66,1.0,1.0,0.33,1.0,0.23,0.07,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2756
tour3 | unif7,0.63,0.45,0.33,0.6,0.63,0.01,0.99,0.02,0.19,0.0,0.0,0.7,0.9,0.0,0.61,0.0,0.0,0.45,0.0,0.0,0.79,0.19,0.85,0.65,0.0,0.3596000000000001
tour3 | up2,0.84,0.87,0.52,0.84,0.65,0.34,0.98,0.15,0.88,0.0,0.01,0.63,0.91,0.0,0.47,0.0,0.0,0.47,0.0,0.07,0.7,0.23,0.79,0.68,0.0,0.44120000000000004
tour3 | up7,0.71,0.92,0.3,0.78,0.6,0.34,0.98,0.11,0.84,0.01,0.0,0.75,0.93,0.0,0.79,0.0,0.0,0.47,0.0,0.03,0.98,0.54,0.85,0.94,0.0,0.4747999999999999
tour3 | ur2,0.83,0.9,0.49,0.87,0.88,0.24,0.96,0.09,0.89,0.0,0.01,0.81,0.89,0.0,0.73,0.0,0.0,0.54,0.0,0.05,0.8,0.52,0.73,0.8,0.01,0.48160000000000003
tour3 | ur7,0.68,0.4,0.26,0.7,0.57,0.01,0.99,0.01,0.41,0.0,0.0,0.69,0.84,0.0,0.96,0.0,0.0,0.33,0.0,0.03,1.0,0.98,0.82,0.99,0.0,0.4268
tour3 | ut3,0.79,0.93,0.67,0.88,0.88,0.37,1.0,0.18,0.91,0.0,0.0,0.75,0.92,0.0,0.37,0.0,0.0,0.45,0.0,0.05,0.46,0.02,0.82,0.27,0.0,0.4288
tour3 | ut7,0.78,0.92,0.57,0.84,0.8,0.41,0.98,0.12,0.93,0.0,0.0,0.8,0.9,0.0,0.44,0.0,0.0,0.51,0.0,0.06,0.46,0.08,0.8,0.34,0.01,0.43000000000000005
tour5 | empty,0.06,0.77,0.73,0.71,0.6,1.0,0.99,0.29,1.0,0.2,0.12,0.36,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736
tour5 | unif1,0.71,0.79,0.62,0.89,0.85,0.48,0.8,0.28,0.75,0.03,0.01,0.66,0.83,0.0,0.74,0.95,0.34,0.39,0.01,0.46,0.88,0.5,0.61,0.55,0.15,0.5312
tour5 | unif2,0.81,0.74,0.5,0.8,0.85,0.1,0.91,0.05,0.82,0.0,0.0,0.74,0.84,0.0,0.94,0.08,0.0,0.49,0.0,0.05,0.99,0.99,0.71,0.98,0.01,0.496
tour5 | unif7,0.7,0.38,0.34,0.65,0.71,0.0,0.98,0.02,0.37,0.0,0.01,0.6,0.91,0.0,0.99,0.0,0.0,0.46,0.0,0.0,1.0,1.0,0.88,1.0,0.0,0.44000000000000006
tour5 | up2,0.71,0.86,0.55,0.94,0.83,0.3,0.93,0.14,0.84,0.01,0.0,0.74,0.86,0.0,0.97,0.06,0.0,0.45,0.0,0.12,1.0,1.0,0.73,0.99,0.04,0.5227999999999999
