Function,Dimensions,Selection,Crossover,Mutation,Speed
F11,2,proportional,one_point,strong,7.0
F11,2,proportional,two_point,weak,31.14
F11,2,proportional,two_point,average,29.0
F11,2,proportional,two_point,strong,36.5
F11,2,proportional,uniform_2,weak,20.0
F11,2,proportional,uniform_2,average,18.0
F11,2,proportional,uniform_2,strong,10.0
F11,2,rank,one_point,weak,29.7
F11,2,rank,one_point,average,30.96
F11,2,rank,one_point,strong,35.0
F11,2,rank,two_point,weak,29.63
F11,2,rank,two_point,average,33.16
F11,2,rank,two_point,strong,23.5
F11,2,rank,uniform_2,weak,30.19
F11,2,rank,uniform_2,average,30.94
F11,2,rank,uniform_2,strong,20.6
F11,2,tournament_3,one_point,weak,21.72
F11,2,tournament_3,one_point,average,25.05
F11,2,tournament_3,one_point,strong,23.43
F11,2,tournament_3,two_point,weak,20.29
F11,2,tournament_3,two_point,average,24.1
F11,2,tournament_3,two_point,strong,23.91
F11,2,tournament_3,uniform_2,weak,21.66
F11,2,tournament_3,uniform_2,average,25.39
F11,2,tournament_3,uniform_2,strong,28.07
F12,2,proportional,one_point,weak,10.34
F12,2,proportional,one_point,average,9.61
F12,2,proportional,one_point,strong,9.45
F12,2,proportional,two_point,weak,10.95
F12,2,proportional,two_point,average,9.83
F12,2,proportional,two_point,strong,9.55
F12,2,proportional,uniform_2,weak,10.43
F12,2,proportional,uniform_2,average,9.97
F12,2,proportional,uniform_2,strong,10.0
F12,2,rank,one_point,weak,12.29
F12,2,rank,one_point,average,10.18
F12,2,rank,one_point,strong,8.54
F12,2,rank,two_point,weak,11.31
F12,2,rank,two_point,average,12.19
F12,2,rank,two_point,strong,8.4
F12,2,rank,uniform_2,weak,11.66
F12,2,rank,uniform_2,average,11.0
F12,2,rank,uniform_2,strong,13.29
F12,2,tournament_3,one_point,weak,11.99
F12,2,tournament_3,one_point,average,12.03
F12,2,tournament_3,one_point,strong,10.45
F12,2,tournament_3,two_point,weak,11.47
F12,2,tournament_3,two_point,average,10.99
F12,2,tournament_3,two_point,strong,9.73
F12,2,tournament_3,uniform_2,weak,10.72
F12,2,tournament_3,uniform_2,average,12.09
F12,2,tournament_3,uniform_2,strong,10.81
F13,2,proportional,one_point,weak,11.5
F13,2,proportional,one_point,average,11.9
F13,2,proportional,one_point,strong,10.93
F13,2,proportional,two_point,weak,10.58
F13,2,proportional,two_point,average,12.79
F13,2,proportional,two_point,strong,12.2
F13,2,proportional,uniform_2,weak,12.54
F13,2,proportional,uniform_2,average,12.34
F13,2,proportional,uniform_2,strong,10.42
F13,2,rank,one_point,weak,12.77
F13,2,rank,one_point,average,12.58
F13,2,rank,one_point,strong,12.4
F13,2,rank,two_point,weak,12.44
F13,2,rank,two_point,average,13.06
F13,2,rank,two_point,strong,13.18
F13,2,rank,uniform_2,weak,13.18
F13,2,rank,uniform_2,average,12.65
F13,2,rank,uniform_2,strong,10.11
F13,2,tournament_3,one_point,weak,12.54
F13,2,tournament_3,one_point,average,12.21
F13,2,tournament_3,one_point,strong,11.91
F13,2,tournament_3,two_point,weak,12.48
F13,2,tournament_3,two_point,average,11.65
F13,2,tournament_3,two_point,strong,11.93
F13,2,tournament_3,uniform_2,weak,11.9
F13,2,tournament_3,uniform_2,average,12.51
F13,2,tournament_3,uniform_2,strong,10.03
