Function,Selection,Crossover,Pop_Size,Iters,fitness
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,999.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_2,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
OneMax,proportional,uniform_prop_7,146,146,1000.0
