Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
tour5 | ur7,0.32,0.05,0.12,0.35,0.31,0.0,0.04,0.04,0.01,0.11,0.14,0.21,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704
tour5 | ut3,0.35,0.05,0.27,0.54,0.5,0.0,0.08,0.02,0.04,0.13,0.12,0.28,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972
tour5 | ut7,0.26,0.11,0.16,0.42,0.46,0.01,0.08,0.03,0.08,0.1,0.15,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084
tour7 | empty,0.55,0.45,0.85,0.99,0.96,0.6,0.71,0.35,0.61,0.03,0.1,0.71,0.21,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28519999999999995
tour7 | one,0.3,0.17,0.49,0.8,0.82,0.01,0.14,0.04,0.04,0.08,0.09,0.39,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1436
tour7 | two,0.25,0.14,0.39,0.8,0.8,0.02,0.07,0.14,0.08,0.06,0.08,0.28,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1288
tour7 | unif2,0.24,0.06,0.35,0.75,0.58,0.0,0.07,0.04,0.02,0.06,0.08,0.27,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10679999999999999
tour7 | unif7,0.28,0.08,0.25,0.35,0.42,0.02,0.08,0.04,0.03,0.03,0.05,0.2,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07560000000000001
tour7 | up2,0.25,0.05,0.36,0.7,0.71,0.01,0.1,0.04,0.03,0.05,0.07,0.28,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11159999999999998
tour7 | up7,0.22,0.09,0.22,0.55,0.41,0.02,0.07,0.03,0.03,0.08,0.07,0.28,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0872
tour7 | ur2,0.19,0.07,0.38,0.74,0.78,0.01,0.07,0.04,0.01,0.02,0.09,0.32,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11719999999999997
tour7 | ur7,0.17,0.06,0.28,0.51,0.52,0.0,0.08,0.01,0.03,0.04,0.06,0.27,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08560000000000001
tour7 | ut3,0.27,0.14,0.28,0.73,0.84,0.01,0.09,0.03,0.01,0.06,0.08,0.32,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12039999999999995
tour7 | ut7,0.21,0.05,0.36,0.68,0.68,0.0,0.07,0.07,0.03,0.06,0.1,0.38,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11199999999999997
